name,brewery_type,city,postal_code,website_url,state,colorado_cup_medal,colorado_cup_category,colorado_cup_beer,gabf_medal,gabf_category,gabf_beer,population,povertyRate
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,,,,Gold,American-Style Pale AleCategory Sponsor:Angel Yeast,Parallel Pale,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,Standard American-Style IPAs,Westbound IPA,Bronze,American-Style Strong Pale Ale,Westbound IPA,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,Hoppy Pale American & International Lagers,Infinity Pils,Silver,Hoppy Lager,Infinity Pils,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,,,,Gold,Italian-Style Pilsener,Westbound Italian Pils,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,,,,Silver,Session India Pale Ale,Scenic Route,3126,0.241
Westbound and Down,planning,Denver,80204,,Colorado,,,,Bronze,Wood- and Barrel-Aged Strong Beer,Moroccan Christmas,33181,0.258
WestFax Brewing Co.,micro,Lakewood,80214,http://www.westfaxbrewingcompany.com,Colorado,Colorado Cup Winner,Hoppy Pale American & International Lagers,Pillieve,,,,25609,0.182
Westminster Brewing Co,micro,Westminster,80021,http://westminsterbrewingco.com,Colorado,,,,,,,33743,0.141
Whistle Pig Brewing Company,micro,Colorado Springs,80918,http://www.whistlepigbrewing.com,Colorado,,,,,,,47294,0.199
Wibby Brewing,micro,Longmont,80501,http://www.wibbybrewing.com,Colorado,Colorado Cup Winner,Dark Lagers,Moondoor Dunkel,,,,41671,0.231
Wild Blue Yonder Brewing,brewpub,Castle Rock,80104,https://wildblueyonderbrewing.com/,Colorado,,,,Bronze,Wood- and Barrel-Aged Strong Beer,Moroccan Christmas,31278,0.15
Wild Woods Brewery,micro,Boulder,80301,http://www.wildwoodsbrewery.com,Colorado,,,,,,,24783,0.165
WildEdge Brewing Collective,brewpub,Cortez,81321,http://www.wildedgebrewing.com,Colorado,,,,,,,14776,0.322
Wiley Roots Brewing Co,micro,Greeley,80631,http://www.wileyrootsbrewing.com,Colorado,,,,,,,50069,0.411
Wit's End Brewing Co,micro,Denver,80204,http://www.witsendbrewing.com,Colorado,,,,,,,33181,0.258
Wonderland Brewing Co.,micro,Broomfield,80020,http://www.wonderlandbrewing.com,Colorado,Colorado Cup Winner,Experimental & Specialty Beers,Oily Oaf,,,,50314,0.141
Woods Boss Brewing Company,micro,Denver,80205,http://www.woodsbossbrew.com,Colorado,,,,,,,34767,0.223
World's End Brewpub,planning,Grand Lake,80447,http://www.ourplacebrewhaus.com,Colorado,,,,,,,2328,0.231
Wynkoop Brewing Co,brewpub,Denver,80202,http://www.wynkoop.com,Colorado,,,,,,,14671,0.189
Yampa Valley Brewing Company,micro,Hayden,81639,http://www.yampavalleybrew.com,Colorado,,,,,,,2692,0.306
Yetters Brewing Company,brewpub,Greeley,80631,https://yettersbrewingcompany.com/,Colorado,,,,,,,50069,0.411
Zephyr Brewing Co,micro,Denver,80216,http://www.zephyrbrewingco.com,Colorado,,,,,,,13029,0.226
Zuni Street Brewing Company,micro,Denver,80211,http://www.zunistreetbrewing.com,Colorado,,,,,,,35310,0.166
Zwei Brewing Co,micro,Fort Collins,80525,http://www.zweibruderbrewing.com,Colorado,,,,,,,54872,0.239
Zymos Brewing,micro,Littleton,80123,http://zymosbrewing.com,Colorado,,,,,,,46381,0.121
