name,brewery_type,city,postal_code,website_url,state,colorado_cup_medal,colorado_cup_category,colorado_cup_beer,gabf_medal,gabf_category,gabf_beer,population,povertyRate
Cannonball Creek Brewing Co,micro,Golden,80403,http://www.cannonballcreekbrewing.com,Colorado,,Session & Pale Ales,Featherweight,,,,20481,0.209
Cannonball Creek Brewing Co,micro,Golden,80403,http://www.cannonballcreekbrewing.com,Colorado,,,,Silver,American-Style Strong Pale Ale,Mindbender,20481,0.209
Cannonball Creek Brewing Co,micro,Golden,80403,http://www.cannonballcreekbrewing.com,Colorado,,,,Bronze,International-Style Pale AleCategory Sponsor:Hop Products Australia,Deer Pallet,20481,0.209
Cannonball Creek Brewing Co,micro,Golden,80403,http://www.cannonballcreekbrewing.com,Colorado,Colorado Cup Winner,Session & Pale Ales,Trump Hands,Bronze,Session India Pale Ale,Trump Hands,20481,0.209
Capitol Creek Brewery,brewpub,Basalt,81621,http://www.capitolcreekbrewery.com,Colorado,,,,,,,5652,0.143
Carbondale Beer Works,brewpub,Carbondale,81623,http://www.carbondalebeerworks.com,Colorado,,,,,,,16977,0.212
Carver Brewing Co,brewpub,Durango,81301,http://carverbrewing.com,Colorado,Colorado Cup Winner,Malty North American Beers,Old Oak Amber Ale,,,,29392,0.2
Carver Brewing Co,brewpub,Durango,81301,http://carverbrewing.com,Colorado,Colorado Cup Winner,Classic UK Amber & Brown Ales,Colorado Trail Nut Brown Ale,,,,29392,0.2
Carver Brewing Co,brewpub,Durango,81301,http://carverbrewing.com,Colorado,Colorado Cup Winner,Pale Malty European Lagers,Lightner Creek Lager,,,,29392,0.2
Casey Brewing and Blending,micro,Glenwood Springs,81601,http://www.caseybrewing.com,Colorado,,,,,,,15019,0.13
Castle Rock Beer Company,closed,Castle Rock,80104,http://www.castlerockbeerco.com,Colorado,,,,,,,31278,0.15
Cellar West Artisan Ales,micro,Boulder,80302,http://www.cellarwest.com,Colorado,Colorado Cup Winner,Brett & Wild Beers,Green Spur,,,,27428,0.529
Cerberus Brewing Company,brewpub,Colorado Springs,80905,http://www.cerberusbrewingco.com,Colorado,,,,,,,16130,0.211
Cerebral Brewing,micro,Denver,80206,http://www.cerebralbrewing.com,Colorado,Colorado Cup Winner,Standard International & Experimental Hoppy Beers,Gasoline Rainbows,,,,24697,0.151
Cerebral Brewing,micro,Denver,80206,http://www.cerebralbrewing.com,Colorado,Colorado Cup Winner,Strong & Imperial Hoppy Beers,Cheat Code,,,,24697,0.151
Cerebral Brewing,micro,Denver,80206,http://www.cerebralbrewing.com,Colorado,Colorado Cup Winner,Wood & Aged Beers,Here Be Monsters,,,,24697,0.151
Cerebral Brewing,micro,Denver,80206,http://www.cerebralbrewing.com,Colorado,,,,Silver,American-Style Light Lager,Neon Lite,24697,0.151
Chain Reaction Brewing Company,micro,Denver,80223,http://www.chainreactionbrewingco.com,Colorado,,,,,,,19969,0.202
Cheluna Brewing Company,micro,Aurora,80010,http://www.cheluna.com,Colorado,,,,,,,42120,0.263
ChopHouse and Brewery - Denver,brewpub,Denver,80202,http://www.craftworksrestaurants.com,Colorado,,,,,,,14671,0.189
City Star Brewing,micro,Berthoud,80513,http://www.citystarbrewing.com,Colorado,,,,,,,12842,0.179
CO-Brew,micro,Denver,80203,http://www.cobrewdenver.com,Colorado,,,,,,,21263,0.135
Coal Mine Ave Brewing Company,micro,Littleton,80123,http://www.coalmineavebrewing.com,Colorado,,,,,,,46381,0.121
Coda Brewing Company,planning,Golden,80401,http://codabrewing.com,Colorado,,,,,,,39413,0.276
Cogstone Brewing Co,brewpub,Colorado Springs,80917,http://www.cogstonebrewing.com,Colorado,,,,,,,30888,0.203
Colorado Boy Pizzeria,brewpub,Montrose,81401,http://www.coloradoboy.com,Colorado,,,,,,,22141,0.299
Colorado Boy Pub & Brewery,brewpub,Ridgway,81432,http://www.coloradoboy.com,Colorado,,,,,,,2970,0.236
Colorado Farm Brewery,micro,Alamosa,81101,http://www.cofarmbeer.com,Colorado,,,,,,,14039,0.395
Colorado Mountain Brewery,micro,Colorado Springs,80921,http://www.cmbrew.com,Colorado,,,,,,,24049,0.18
Colorado Mountain Brewery At the Roundhouse,brewpub,Colorado Springs,80904,http://www.cmbrew.com,Colorado,,,,,,,19985,0.223
Colorado Plus,brewpub,Wheat Ridge,80033,http://coloradoplus.net,Colorado,,,,,,,25386,0.197
Comrade Brewing Company,micro,Denver,80231,http://comradebrewing.com,Colorado,Colorado Cup Winner,Session & Pale Ales,Honeyman 64,,,,36570,0.167
CooperSmiths Pub and Brewing,brewpub,Fort Collins,80524,http://www.coopersmithspub.com,Colorado,,,,,,,36122,0.334
Copper Club Brewing Co,micro,Fruita,81521,http://www.copperclubbrew.com,Colorado,,,,,,,16210,0.188
Copper Kettle Brewing Company,micro,Denver,80247,http://www.copperkettledenver.com,Colorado,,,,,,,29219,0.148
Crabtree Brewing,micro,Greeley,80631,http://www.crabtreebrewing.com,Colorado,,,,,,,50069,0.411
Crazy Mountain Brewing Co,regional,Denver,80204,http://www.crazymountainbrewery.com,Colorado,,,,,,,33181,0.258
Crestone Brewing Company,brewpub,Crestone,81131,http://www.crestonebrewingco.com,Colorado,,,,,,,1339,0.302
Crooked Stave Artisan Beer Project,micro,Denver,80211,http://www.crookedstave.com,Colorado,Colorado Cup Winner,Brett & Wild Beers,Spon,,,,35310,0.166
Crow Hop Brewing Co. Ltd.,micro,Loveland,80537,http://www.crowhopbrewing.com,Colorado,,,,,,,43100,0.143
Crystal Springs Brewing Co,micro,Louisville,80027,http://www.crystalspringsbrewing.com,Colorado,,,,,,,33830,0.18
D.C. Oakes Brewhouse and Eatery,brewpub,Fort Collins,80528,http://www.dcoakesbrewhouse.com,Colorado,,,,,,,22562,0.148
Dad & Dudes Breweria,brewpub,Aurora,80016,http://breweria.com,Colorado,,,,,,,56711,0.102
Dead Hippie Brewing,micro,Sheridan,80110,http://www.deadhippiebrewing.com,Colorado,,,,,,,22660,0.174
Dean and Co,micro,La Junta,81050,,Colorado,,,,,,,8995,0.441
Declaration Brewing Company,micro,Denver,80223,http://www.declarationbrewing.com,Colorado,,,,,,,19969,0.202
Dented Face Brewing Company,planning,Delta,81416,,Colorado,,,,,,,13082,0.318
Denver Beer Co,micro,Denver,80202,http://www.denverbeerco.com,Colorado,,,,,,,14671,0.189
Denver Beer Co - Littleton,micro,Littleton,80120,https://denverbeerco.com/taprooms/littleton/,Colorado,,,,,,,31356,0.194
Denver Beer Co Canworks,micro,Denver,80211,,Colorado,,,,Silver,Specialty Non-Alcohol Beer,NA Tangerine Cream,35310,0.166
Denver Beer Co Olde Town Arvada,micro,Arvada,80002,https://denverbeerco.com/taprooms/olde-town-arvada/,Colorado,,,,,,,18846,0.207
DeSteeg Brewing Co/Blind Faith Brewing,micro,Denver,80212,http://www.desteegbrewing.com,Colorado,,,,,,,19446,0.192
Diebolt Brewing,micro,Denver,80211,http://www.dieboltbrewing.com,Colorado,Colorado Cup Winner,Sour Ales,David Frambowie,,,,35310,0.166
Diebolt Brewing,micro,Denver,80211,http://www.dieboltbrewing.com,Colorado,,,,Gold,Wood- and Barrel-Aged Strong Stout,Vladislav,35310,0.166
Dillon Dam Brewery,brewpub,Dillon,80435,http://www.dambrewery.com,Colorado,,,,,,,7628,0.185
Dive Bar Brewing Company,proprietor,Greenwood Village,80111,http://divebarbeer.com,Colorado,,,,,,,33134,0.14
Dodgeton Creek Brewing Co.,planning,Trinidad,81082,http://www.dodgetoncreek.com,Colorado,,,,,,,10964,0.343
Dolores River Brewery,brewpub,Dolores,81323,http://www.doloresriverbrewery.com,Colorado,,,,,,,4525,0.151
Donavon Brewing Company,planning,Arvada,80005,http://www.donavonbrewing.com,Colorado,,,,,,,28692,0.119
Dos Luces Brewery,contract,Denver,80210,http://www.dosluces.com,Colorado,,,,,,,34639,0.207
Dostal Alley Brewing Co,brewpub,Central City,80427,http://www.dostalalley.net,Colorado,,,,,,,720,0.084
Downhill Brewing,micro,Parker,80134,https://www.downhillbrews.com/,Colorado,,,,,,,69059,0.116
Downhill Brewing - Greenwood Village,micro,Greenwood Village,80112,https://www.downhillbrews.com/,Colorado,,,,,,,32311,0.105
Dratz Brewing Company,planning,Loveland,80537,http://www.dratzbrewing.com,Colorado,,,,,,,43100,0.143
Dry Dock Brewing Co - North Dock,regional,Aurora,80011,http://www.drydockbrewing.com,Colorado,,,,,,,51585,0.204
Dry Dock Brewing Co- South Dock,micro,Aurora,80014,http://www.drydockbrewing.com,Colorado,,,,,,,38904,0.141
Dueces Wild Brewery,micro,Colorado Springs,80915,http://www.dwbbrewery.com,Colorado,,,,,,,21478,0.195
Durango Brewing Co,brewpub,Durango,81301,http://www.durangobrewing.com,Colorado,,,,,,,29392,0.2
Echo Brewing Cask and Barrel,brewpub,Erie,80516,,Colorado,,,,,,,28166,0.175
Echo Brewing Company,brewpub,Frederick,80530,,Colorado,,,,,,,4707,0.129
Eddyline Brewing LLC,micro,Buena Vista,81211,http://eddylinebrewery.com,Colorado,,,,,,,7140,0.294
Edgewater Brewery,brewpub,Grand Junction,81501,http://www.kannahcreekbrewingco.com/edgewater-brewery,Colorado,,,,,,,21445,0.351
El Rancho Brewing,brewpub,Evergreen,80439,http://www.elranchobrewing.com,Colorado,,,,,,,24797,0.186
Elevation Beer Company,micro,Poncha Springs,81242,,Colorado,Colorado Cup Winner,Fruit & Field Beers,Coconut Oil Man,,,,465,0.279
